series,horizon,actual,forecast,error_actual_minus_forecast
Y1,1,32613.4968,31399.230629,1214.266171
Y1,2,36053.1674,32428.048050,3625.119350
Y1,3,38472.7532,33456.865471,5015.887729
Y1,4,38420.8940,34485.682893,3935.211107
Y2,1,450569,360295.937322,90273.062678
Y2,2,421513,373048.276760,48464.723240
Y2,3,426166,385800.616199,40365.383801
Y2,4,265729,398552.955637,-132823.955637
Y3,1,104885,185908.770000,-81023.770000
Y3,2,188069,192080.826154,-4011.826154
Y3,3,236275,198252.882308,38022.117692
Y3,4,212260,204424.938462,7835.061538
Y4,1,88534,107664.576923,-19130.576923
Y4,2,97115,114166.197802,-17051.197802
Y4,3,96381,120667.818681,-24286.818681
Y4,4,117330.19,127169.439560,-9839.249560
Y5,1,14929,15324.076923,-395.076923
Y5,2,17057,15799.593407,1257.406593
Y5,3,15798,16275.109890,-477.109890
Y5,4,43985.64,16750.626374,27235.013626
